"state","year","shootings_total","shootings_black","shootings_white","shootings_other","pop_total","pop_black","pop_white","pop_other","rate_total","rate_black","rate_white","rate_other","control_totpop","control_blackshare","yr_2015","yr_2016","yr_2017","yr_2018","yr_2019","yr_2020","region"
"MI",2017,14,5,7,2,9995915,1496029,8041198,458688,1.40057213371662e-06,5.00204333470223e-07,7.00286066858312e-07,2.00081733388089e-07,9995915,0.149664037759425,0,0,1,0,0,0,"midwest"
"MI",2018,21,5,11,5,9995915,1496029,8041198,458688,2.10085820057493e-06,5.00204333470223e-07,1.10044953363449e-06,5.00204333470223e-07,9995915,0.149664037759425,0,0,0,1,0,0,"midwest"
"MI",2019,13,3,7,3,9995915,1496029,8041198,458688,1.30053126702258e-06,3.00122600082134e-07,7.00286066858312e-07,3.00122600082134e-07,9995915,0.149664037759425,0,0,0,0,1,0,"midwest"
"MI",2020,10,2,6,2,9995915,1496029,8041198,458688,1.00040866694045e-06,2.00081733388089e-07,6.00245200164267e-07,2.00081733388089e-07,9995915,0.149664037759425,0,0,0,0,0,1,"midwest"
"MN",2015,12,3,8,1,5611179,423054,4791431,396694,2.13858798658891e-06,5.34646996647229e-07,1.42572532439261e-06,1.78215665549076e-07,5611179,0.0753948501731989,1,0,0,0,0,0,"midwest"
"MN",2016,14,2,9,3,5611179,423054,4791431,396694,2.49501931768707e-06,3.56431331098152e-07,1.60394098994169e-06,5.34646996647229e-07,5611179,0.0753948501731989,0,1,0,0,0,0,"midwest"
"MN",2017,9,1,6,2,5611179,423054,4791431,396694,1.60394098994169e-06,1.78215665549076e-07,1.06929399329446e-06,3.56431331098152e-07,5611179,0.0753948501731989,0,0,1,0,0,0,"midwest"
"MN",2018,12,2,7,3,5611179,423054,4791431,396694,2.13858798658891e-06,3.56431331098152e-07,1.24750965884353e-06,5.34646996647229e-07,5611179,0.0753948501731989,0,0,0,1,0,0,"midwest"
"MN",2019,11,2,4,5,5611179,423054,4791431,396694,1.96037232103984e-06,3.56431331098152e-07,7.12862662196305e-07,8.91078327745381e-07,5611179,0.0753948501731989,0,0,0,0,1,0,"midwest"
"MN",2020,6,NA,6,NA,5611179,423054,4791431,396694,1.06929399329446e-06,NA,1.06929399329446e-06,NA,5611179,0.0753948501731989,0,0,0,0,0,1,"midwest"
